Artist,Nationality,Gender,BeginDate,EndDate,Museum,Ethnicity,SmallMuseum,Race
Charles Heit,Unknown,Male,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,Unknown
Charles Henri Ford,American,Male,1908.0,2002.0,Museum of Modern Art,Unknown,No,Unknown
Charles Hinman,American,Male,1932.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Charles Hoff,American,Male,1905.0,1975.0,Museum of Modern Art,Unknown,No,Unknown
Charles Hopkins,Unknown,Male,Unknown,Unknown,San Francisco Museum of Modern Art,Unknown,No,Unknown
Charles Hopkinson,American,Male,1869.0,1962.0,Museum of Modern Art,Unknown,No,Unknown
Charles Hossein Zenderoudi,French,Male,1937.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Charles Howard,Unknown,Male,Unknown,Unknown,Art Institute of Chicago,Unknown,No,White
Charles Hunt Sr.,Unknown,Male,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,White
Charles I. Berg,American,Male,1856.0,1926.0,Museum of Modern Art,Unknown,No,Unknown
Charles J. Brabin,American,Male,1883.0,1957.0,Museum of Modern Art,Unknown,No,Unknown
Charles James,Unknown,Male,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,White
Charles John Watson,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,White
Charles Jones,Unknown,Male,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,White
Charles Jongejans,Dutch,Male,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Charles Joseph Beauverie,Unknown,Male,Unknown,Unknown,Art Institute of Chicago,Unknown,No,White
Charles Joseph Natoire,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
Charles K. Archer,Unknown,Male,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,Unknown
Charles Keating Linder,Unknown,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Charles Klabunde,American,Male,1934.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Charles Knowles,American,Male,1939.0,1958.0,Museum of Modern Art,Unknown,No,Unknown
Charles Krutch,American,Male,1887.0,1981.0,Museum of Modern Art,Unknown,No,Unknown
Charles Kuhn,Swiss,Male,1903.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Charles L. Goeller,American,Male,1901.0,1955.0,Museum of Modern Art,Unknown,No,Unknown
Charles Lacoste,French,Male,1870.0,1959.0,Museum of Modern Art,Unknown,No,Unknown
Charles Landseer,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
Charles Lapierre,French,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Charles Lassiter,American,Male,1926.0,2005.0,Museum of Modern Art,Unknown,No,Unknown
Charles Le Coeur,Unknown,Male,Unknown,Unknown,Museum of Modern Art,Unknown,No,White
Charles Le Maire ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
Charles Locke,American,Male,1899.0,1983.0,Museum of Modern Art,Unknown,No,Unknown
Charles Loloma,Unknown,Male,Unknown,Unknown,Denver Art Museum,Other,No,Unknown
Charles Long,American,Male,1958.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Charles Loring Elliott,Unknown,Unknown,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,White
Charles Louis ClACrisseau,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,Unknown
Charles Louis Simonneau,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,White
Charles Loupot,French,Male,1892.0,1962.0,Museum of Modern Art,Unknown,No,Unknown
Charles Luce ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
Charles Lucien Léandre,French,Unknown,1862.0,1930.0,Museum of Modern Art,Unknown,No,Unknown
Charles M. Bell,American,Male,1848.0,1893.0,Museum of Modern Art,Unknown,No,Unknown
Charles M. Schulz,Unknown,Male,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,White
Charles Magnus,Unknown,Male,Unknown,Unknown,Yale University Art Gallery,Unknown,No,White
Charles Marie Dulac,French,Male,1865.0,1898.0,Museum of Modern Art,Unknown,No,Unknown
Charles Marion Russell,Unknown,Male,Unknown,Unknown,Denver Art Museum,Unknown,No,White
Charles Martin,American,Male,1952.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Charles Mattox,American,Male,1910.0,1996.0,Museum of Modern Art,Unknown,No,Unknown
Charles Maurin,French,Male,1856.0,1914.0,Museum of Modern Art,Unknown,No,Unknown
Charles Meigh,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
Charles Meng,Unknown,Male,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,Asian
Charles Mertens,Unknown,Male,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,White
Charles Meryon,Unknown,Male,Unknown,Unknown,Art Institute of Chicago,Unknown,No,White
Charles Meynier,Unknown,Male,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,White
Charles Mitchell,Unknown,Unknown,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,Unknown
Charles Montoya,Unknown,Male,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,Unknown
Charles Murphy,Unknown,Male,Unknown,Unknown,Dallas Museum of Art,Unknown,No,White
Charles Nichols,American,Male,1910.0,1992.0,Museum of Modern Art,Unknown,No,Unknown
Charles Nkosi,South African,Male,Unknown,Unknown,Museum of Modern Art,Unknown,No,Unknown
Charles Noel Flagg,Unknown,Male,Unknown,Unknown,Yale University Art Gallery,Unknown,No,White
Charles Norman Sladen,American,Male,1858.0,1949.0,Museum of Modern Art,Unknown,No,Unknown
Charles Nègre,French,Male,1820.0,1880.0,Museum of Modern Art,Unknown,No,Unknown
Charles O. Perry,American,Male,1929.0,2011.0,Museum of Modern Art,Unknown,No,Unknown
Charles Osborne,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
Charles P. Hibbard,Unknown,Male,Unknown,Unknown,Denver Art Museum,Unknown,No,White
Charles Paine,Unknown,Male,Unknown,Unknown,Art Institute of Chicago,Unknown,No,White
Charles Partridge Adams,Unknown,Male,Unknown,Unknown,Denver Art Museum,Unknown,No,White
Charles Paul Gruppe,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,White
Charles Paxson,Unknown,Male,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,Unknown
Charles Perussaux,Unknown,Male,Unknown,Unknown,National Gallery of Art,Unknown,No,White
Charles Piquette,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,Unknown
Charles Quest,American,Male,1904.0,1993.0,Museum of Modern Art,Unknown,No,Unknown
Charles Rain,American,Male,1911.0,1985.0,Museum of Modern Art,Unknown,No,Unknown
Charles Ray Frazier,American,Male,1930.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Charles Reginald Aston,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
Charles Reutlinger,French,Male,1816.0,1880.0,Museum of Modern Art,Unknown,No,Unknown
Charles Robert Ashbee,British,Male,1863.0,1942.0,Museum of Modern Art,Unknown,No,Unknown
Charles Rogers,Unknown,Male,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,Unknown
Charles Roscoe Savage,Unknown,Male,Unknown,Unknown,Denver Art Museum,Unknown,No,White
Charles S. Todd,American,Male,1885.0,1950.0,Museum of Modern Art,Unknown,No,Unknown
Charles S. White,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,Unknown
Charles Salisbury,British,Male,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Charles Sarka,Unknown,Male,Unknown,Unknown,Whitney Museum of American Art,Unknown,No,White
Charles Schenk,American,Male,1845.0,1915.0,Museum of Modern Art,Unknown,No,Unknown
Charles Schreyvogel,Unknown,Male,Unknown,Unknown,Denver Art Museum,Unknown,No,White
Charles Schucker,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,White
Charles Shaw,Unknown,Male,Unknown,Unknown,San Francisco Museum of Modern Art,Unknown,No,White
Charles Simonds,American,Male,1945.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Charles Smith,American,Male,1893.0,1987.0,Museum of Modern Art,Unknown,No,Unknown
Charles Sprague Pearce,Unknown,Male,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,White
Charles Spurrier,Swiss,Male,1930.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Charles Stanley Reinhart,Unknown,Male,Unknown,Unknown,Art Institute of Chicago,Unknown,No,Unknown
Charles Steffen,Unknown,Male,Unknown,Unknown,High Museum of Art,Unknown,No,White
Charles Strong,Unknown,Male,Unknown,Unknown,San Francisco Museum of Modern Art,Unknown,No,White
Charles Stuart Harris,Unknown,Male,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,White
Charles Sumner Greene ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
Charles Swanson,Unknown,Male,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,White
Charles Swedlund,Unknown,Male,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,White
Charles Sydney Hopkinson,Unknown,Male,Unknown,Unknown,Art Institute of Chicago,Unknown,No,White
Charles Thurston Thompson,British,Male,1816.0,1868.0,Museum of Modern Art,Unknown,No,Unknown
Charles Turner,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,White
Charles Turzak,Unknown,Male,Unknown,Unknown,Dallas Museum of Art,Unknown,No,Unknown
Charles Umlauf,Unknown,Male,Unknown,Unknown,Dallas Museum of Art,Unknown,No,White
Charles Voisey,Unknown,Male,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,White
Charles W. Carlson,American,Male,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Charles W. Reed,Unknown,Male,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,White
Charles W. Springman,American,Male,1940.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Charles Wheeler Locke,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,White
Charles White,American,Male,1918.0,1979.0,Museum of Modern Art,Unknown,No,Unknown
Charles White ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
Charles White III,American,Male,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Charles Wilbert White,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,Black
Charles William Moss,American,Male,1923.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Charles Willson Peale,Unknown,Male,Unknown,Unknown,Denver Art Museum,Unknown,No,White
Charles Winter,French,Male,1821.0,1904.0,Museum of Modern Art,Unknown,No,Unknown
Charles Wyllys Betts,Unknown,Male,Unknown,Unknown,Yale University Art Gallery,Unknown,No,Unknown
Charles de Meaux,French,Male,1967.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Charles de Wailly,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
Charles-Alexis Apoil,Unknown,Unknown,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,White
Charles-FranA?ois Daubigny,Unknown,Male,Unknown,Unknown,High Museum of Art,Unknown,No,White
Charles-George Dufresne,Unknown,Male,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,White
Charles-HonorAC Lannuier,Unknown,Male,Unknown,Unknown,High Museum of Art,Unknown,No,White
Charles-Joseph Natoire,Unknown,Male,Unknown,Unknown,High Museum of Art,Unknown,No,White
Charles-Nicolas Cochin I,Unknown,Male,Unknown,Unknown,National Gallery of Art,Unknown,No,White
Charlette Begay,Unknown,Female,Unknown,Unknown,Dallas Museum of Art,Other,No,Unknown
Charlie Lucas,Unknown,Male,Unknown,Unknown,High Museum of Art,Unknown,No,Unknown
Charlie Willeto,Unknown,Male,Unknown,Unknown,High Museum of Art,Other,No,Unknown
Charline von Heyl,German,Female,1960.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Charlot FrA?res,Unknown,Unknown,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,Unknown
Charlotte Guerin,Unknown,Unknown,Unknown,Unknown,Art Institute of Chicago,Unknown,No,White
Charlotte Jane Whitehill,Unknown,Unknown,Unknown,Unknown,Denver Art Museum,Unknown,No,Unknown
Charlotte Mary Yonge,Unknown,Female,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
Charlotte Moorman,American,Unknown,1933.0,1991.0,Museum of Modern Art,Unknown,No,Unknown
Charlotte Morse,Unknown,Female,Unknown,Unknown,Yale University Art Gallery,Unknown,No,White
Charlotte Park,Unknown,Female,Unknown,Unknown,Whitney Museum of American Art,Unknown,No,White
Charlotte Peillon,Unknown,Unknown,Unknown,Unknown,Museum of Modern Art,Unknown,No,Unknown
Charlotte Perriand,French,Female,1903.0,1999.0,Museum of Modern Art,Unknown,No,Unknown
Charlotte Posenenske,German,Female,1930.0,1985.0,Museum of Modern Art,Unknown,No,Unknown
Charlotte Rudolph,German,Female,1896.0,1983.0,Museum of Modern Art,Unknown,No,Unknown
Charlotte Schmidt,German,Female,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Charlotte Schwarz Hallet,Unknown,Female,Unknown,Unknown,Dallas Museum of Art,Unknown,No,White
Charmion von Wiegand,American,Female,1899.0,1983.0,Museum of Modern Art,Unknown,No,Unknown
Chas A. McCann,Unknown,Unknown,Unknown,Unknown,Yale University Art Gallery,Unknown,No,Unknown
Chas Laborde,Unknown,Male,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,Unknown
Chas Laborde (Charles Laborde),French,Male,1886.0,1941.0,Museum of Modern Art,Unknown,No,Unknown
Chase Hall,Unknown,Male,Unknown,Unknown,Hammer Museum,African-American,Yes,Unknown
Chauncey Hare,American,Male,1934.0,2019.0,Museum of Modern Art,Unknown,No,Unknown
Chaz BojA3rquez,Unknown,Male,Unknown,Unknown,Museum of Contemporary Art,Hispanic,No,Unknown
Check  Boterf,American,Male,1934.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Chen Chun,Unknown,Male,Unknown,Unknown,Philadelphia Museum of Art,Unknown,No,Asian
Chen Gua,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,Asian
Chen Julai,Unknown,Male,Unknown,Unknown,Yale University Art Gallery,Unknown,No,Asian
Chen Nong,Unknown,Male,Unknown,Unknown,San Francisco Museum of Modern Art,Unknown,No,Asian
Chen Shaoxiong,Chinese,Male,1962.0,2016.0,Museum of Modern Art,Unknown,No,Unknown
Chen Shu,Unknown,Female,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,Asian
Chen Xi,Austrian,Unknown,1966.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Chen Yanqing,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,Asian
Chen Zhen,Chinese,Male,1955.0,2000.0,Museum of Modern Art,Unknown,No,Unknown
Cheng Sha Ping,Chinese,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Cheng Sui,Unknown,Male,Unknown,Unknown,Philadelphia Museum of Art,Unknown,No,Asian
Cheng Zhengkui ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,Asian
Cherie Raciti,Unknown,Female,Unknown,Unknown,San Francisco Museum of Modern Art,Unknown,No,White
Cherry Barr Jerry,Unknown,Unknown,Unknown,Unknown,National Gallery of Art,Unknown,No,White
Cherubino Alberti,Unknown,Male,Unknown,Unknown,Art Institute of Chicago,Unknown,No,Unknown
Cheryl Donegan,American,Female,1962.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Cheryl Laemmle,Unknown,Female,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,White
Chester B. Price,Unknown,Male,Unknown,Unknown,National Gallery of Art,Unknown,No,White
Chester Eisenhuth,American,Male,1910.0,1995.0,Museum of Modern Art,Unknown,No,Unknown
Chester Harding,Unknown,Male,Unknown,Unknown,Dallas Museum of Art,Unknown,No,Unknown
Chester Higgins Jr.,American,Male,1946.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Chester Weinberg ,Unknown,Unknown,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,Unknown
Chet La More,American,Male,1908.0,1980.0,Museum of Modern Art,Unknown,No,Unknown
Cheyney Thompson,American,Male,1975.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Chiarenza Carl,Unknown,Unknown,Unknown,Unknown,Philadelphia Museum of Art,Unknown,No,Unknown
Chiari Fabrizio,Unknown,Male,Unknown,Unknown,Philadelphia Museum of Art,Unknown,No,Unknown
Chicago School of Design,Unknown,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Chief Tiripi,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Other,No,Unknown
Chikuchi Toshio,Unknown,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Chimei Hamada,Japanese,Male,1917.0,2018.0,Museum of Modern Art,Unknown,No,Unknown
Chin Hsiao,Chinese,Male,1935.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Chinemerem Omeh,Nigerian,Male,Unknown,Unknown,N'Namdi Contemporary Fine Art,Unknown,Yes,Unknown
Chinn Yuen-Yuei,Chinese,Unknown,1923.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Chip Lord,American,Male,1944.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Chiura Obata,Unknown,Male,Unknown,Unknown,Whitney Museum of American Art,Unknown,No,Asian
Chivas Clem,American,Male,1977.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Chizuko Yoshida,Japanese,Female,1924.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Chloe Piene,American,Female,1972.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Cho Chung-Hyun,Unknown,Female,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,Asian
Chokosai Eishi,Unknown,Male,Unknown,Unknown,Yale University Art Gallery,Unknown,No,Asian
Chokosai Eisho,Unknown,Male,Unknown,Unknown,Yale University Art Gallery,Unknown,No,Asian
"Chris ""Daze"" Ellis",American,Male,1962.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Chris Bayley,Unknown,Male,Unknown,Unknown,National Gallery of Art,Unknown,No,Unknown
Chris Brooke,Unknown,Male,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,White
Chris Burden,American,Male,1946.0,2015.0,Museum of Modern Art,Unknown,No,Unknown
Chris Callis,Unknown,Male,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,Unknown
Chris D.,Unknown,Male,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Chris Diedericks,Unknown,Male,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Chris Earnshaw,Unknown,Male,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,White
Chris Finley,American,Male,1971.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Chris Hammerlein,American,Male,1962.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Chris Held,Unknown,Male,Unknown,Unknown,Denver Art Museum,Unknown,No,Unknown
Chris Hendrik Beekman,Dutch,Male,1887.0,1964.0,Museum of Modern Art,Unknown,No,Unknown
Chris Hibbard,Unknown,Male,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,White
Chris Jordan ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
Chris Kabel,Dutch,Male,1975.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Chris Killip,British,Male,1946.0,2020.0,Museum of Modern Art,Unknown,No,Unknown
Chris Macdonald,Unknown,Male,Unknown,Unknown,Whitney Museum of American Art,Unknown,No,White
Chris Marker,French,Male,1921.0,2012.0,Museum of Modern Art,Unknown,No,Unknown
Chris Milk,Unknown,Male,Unknown,Unknown,Museum of Modern Art,Unknown,No,White
Chris Miner,American,Male,1973.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Chris Morris,Unknown,Male,Unknown,Unknown,San Francisco Museum of Modern Art,Unknown,No,Unknown
Chris Rainier,Unknown,Male,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,White
Chris Schiavo,American,Male,1961.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Chris Talbot,Unknown,Male,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,Unknown
Chris Vasell,American,Male,1974.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Chris Verene,Unknown,Male,Unknown,Unknown,Whitney Museum of American Art,Unknown,No,White
Chris Ware,Unknown,Male,Unknown,Unknown,Whitney Museum of American Art,Unknown,No,White
Christa Ehrlich,Dutch,Female,1903.0,1995.0,Museum of Modern Art,Unknown,No,Unknown
Christer Strömholm,Swedish,Male,1918.0,2002.0,Museum of Modern Art,Unknown,No,Unknown
Christian (Johann Christianadolf) Friedrich,German,Male,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christian Barman,British,Male,1898.0,1980.0,Museum of Modern Art,Unknown,No,Unknown
Christian Belpaire,Unknown,Male,Unknown,Unknown,Museum of Modern Art,Congolese,No,Unknown
Christian Burchard ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
Christian Bérard,French,Male,1902.0,1949.0,Museum of Modern Art,Unknown,No,Unknown
Christian Carez,Unknown,Male,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,White
Christian Dell,German,Male,1893.0,1974.0,Museum of Modern Art,Unknown,No,Unknown
Christian Dior,Unknown,Male,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,White
Christian Dorflinger,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
Christian Dotremont,Belgian,Male,1922.0,1979.0,Museum of Modern Art,Unknown,No,Unknown
Christian Eckart,Canadian,Male,1959.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christian Flamm,German,Male,1974.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christian Fossier,French,Male,1943.0,2013.0,Museum of Modern Art,Unknown,No,Unknown
Christian Friedrich Herold,Unknown,Male,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,White
Christian Friedrich Zincke,Unknown,Male,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,White
Christian Gottlieb Mietsch,Unknown,Male,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,White
Christian Holstad,American,Male,1972.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christian Jaccard,French,Male,1939.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christian Kruck,German,Male,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christian Lacroix,Unknown,Male,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,White
Christian Leborg,Norwegian,Male,1966.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christian Louboutin,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
Christian Philipp Müller,Swiss,Male,1957.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christian Rohlfs,German,Male,1849.0,1938.0,Museum of Modern Art,Unknown,No,Unknown
Christian Schad,German,Male,1894.0,1982.0,Museum of Modern Art,Unknown,No,Unknown
Christian Schwarzwald,Austrian,Male,1971.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christian Staub,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,White
Christian Vetter,Swiss,Male,1970.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christian Vinck Henriquez,Venezuelan,Male,1978.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christian Wolff,American,Unknown,1934.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christian Yordy,Unknown,Male,Unknown,Unknown,Dallas Museum of Art,Unknown,No,Unknown
Christian Zervos,French,Male,1889.0,1970.0,Museum of Modern Art,Unknown,No,Unknown
Christian de Portzamparc,French,Male,1944.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christiane Baumgartner,German,Female,1967.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christien Meindertsma,Dutch,Female,1980.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christina Bertoni,Unknown,Female,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,White
Christina Fernandez,Unknown,Female,Unknown,Unknown,Hammer Museum,Mexican-American,Yes,Unknown
Christina Galvez,Peruvian,Female,1918.0,1982.0,Museum of Modern Art,Unknown,No,Unknown
Christina Quarles,Unknown,Female,Unknown,Unknown,Hammer Museum,African-American,Yes,Unknown
Christina Ruppe Chalon,Unknown,Unknown,Unknown,Unknown,Yale University Art Gallery,Unknown,No,White
Christina Stack,Unknown,Female,Unknown,Unknown,Dallas Museum of Art,Unknown,No,Unknown
Christine Boumeester,Dutch,Female,1904.0,1971.0,Museum of Modern Art,Unknown,No,Unknown
Christine Hatt,Unknown,Female,Unknown,Unknown,Dallas Museum of Art,Unknown,No,White
Christine Hiebert,American,Female,1960.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christine Hill,American,Female,1968.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christine Osinski,American,Female,1948.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christine Sun Kim,American-Korean,Female,Unknown,Unknown,Art Institute of Chicago,Unknown,No,Unknown
Christine Taylor ,Unknown,Female,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,Unknown
Christine Terhune Herrick,Unknown,Female,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
Christoffel Bockstorffer,Unknown,Male,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,White
Christoffel Jegher,Unknown,Male,Unknown,Unknown,National Gallery of Art,Unknown,No,White
Christoffel van Sichem II,Unknown,Male,Unknown,Unknown,Yale University Art Gallery,Unknown,No,White
Christoph Beham,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
Christoph Miller,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
Christoph Ruckhäberle,German,Male,1972.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christoph Schlingensief,German,Male,1960.0,2010.0,Museum of Modern Art,Unknown,No,Unknown
Christoph Schmidberger ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
Christophe,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,Unknown
Christopher Brown,American,Male,1951.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christopher Connell,Australian,Male,1954.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christopher Cozier,Trinidad and Tobagonian,Unknown,1959.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christopher Dresser,British,Male,1834.0,1904.0,Museum of Modern Art,Unknown,No,Unknown
Christopher Giglio,American,Male,1964.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christopher Knowles,American,Male,1959.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christopher Landis,Unknown,Male,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,Unknown
Christopher Martin Hofstetter,Swiss,Male,1944.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christopher Orr,British,Male,1967.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Christopher P. James,American,Male,1947.0,0.0,Museum of Modern Art,Unknown,No,Unknown
