,Artist,Classification,BeginDate,EndDate,Ethnicity,Museum,Gender,SmallMuseum,Nationality,Race,Decade
1780,Christopher Knowles,Drawing,1959.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1950.0
1781,Christopher Le Brun,Painting,1951.0,0.0,Unknown,Dallas Museum of Art,Male,No,British,White,1950.0
1782,Christopher Martin Hofstetter,Design,1944.0,0.0,Unknown,Museum of Modern Art,Male,No,Swiss,Unknown,1940.0
1783,Christopher Orr,Drawing,1967.0,0.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1960.0
1784,Christopher P. James,Photograph,1947.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1940.0
1785,Christopher Richard Wynne Nevinson,Print,1889.0,1946.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1880.0
1786,Christopher Williams,Photograph,1956.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1950.0
1787,Christopher Williamson,Design,1950.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1950.0
1788,Christopher Wilmarth,Drawing,1943.0,1987.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1940.0
1789,Christopher Wool,Illustrated Book,1955.0,0.0,Unknown,San Francisco Museum of Modern Art,Male,No,American,Unknown,1950.0
1790,Christy Astuy,Print,1959.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1950.0
1791,Chryssa,Print,1933.0,2013.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1930.0
1792,Chto Delat,Video,2003.0,0.0,Unknown,Museum of Modern Art,Unknown,No,Unknown,Unknown,2000.0
1793,Chuck Burton/Associated Press,Photograph,1955.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1950.0
1795,Chuck Close,Photograph,1940.0,2021.0,Unknown,National Gallery of Art,Male,No,American,White,1940.0
1796,Chuck Hoberman,Design,1956.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1950.0
1799,Chung Chang-Sup,Painting,1927.0,2011.0,Unknown,Museum of Modern Art,Male,No,Korean,Unknown,1920.0
1800,Chunghi Choo,Design,1938.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1930.0
1803,Cindy Bernard,Installation,1959.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1950.0
1804,Cindy Sherman,Photograph,1954.0,0.0,Unknown,San Francisco Museum of Modern Art,Female,No,American,White,1950.0
1805,Cindy van den Bremen,Design,1972.0,0.0,Unknown,Museum of Modern Art,Female,No,Dutch,Unknown,1970.0
1807,Claes Oldenburg,Drawing,1929.0,2022.0,Unknown,Rhode Island School of Design Museum,Male,No,American,White,1920.0
1808,Claire Barclay,Drawing,1968.0,0.0,Unknown,Museum of Modern Art,Female,No,Scottish,Unknown,1960.0
1809,Claire Falkenstein,Print,1908.0,1997.0,Unknown,Whitney Museum of American Art,Female,No,American,White,1900.0
1810,Claire Moore,Print,1917.0,1988.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1910.0
1812,Clara E. Sipprell,Photograph,1885.0,1975.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1880.0
1813,Clara McDonald Williamson,Painting,1875.0,1976.0,Unknown,Dallas Museum of Art,Female,No,American,White,1870.0
1814,Clara Porset,Design,1895.0,1981.0,Unknown,Museum of Modern Art,Female,No,Mexican,Unknown,1890.0
1815,Clara Tice,Print,1888.0,1973.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1880.0
1816,Clare Rojas,Audio,1976.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1970.0
1817,Clare Romano,Print,1922.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1920.0
1818,Clare Stephenson,Drawing,1972.0,0.0,Unknown,Museum of Modern Art,Female,No,British,Unknown,1970.0
1819,Clare Strand,Photograph,1973.0,0.0,Unknown,Museum of Modern Art,Female,No,British,Unknown,1970.0
1820,Clarence H. Carter,Print,1904.0,2000.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1900.0
1821,Clarence H. White,Photograph,1871.0,1925.0,Unknown,National Gallery of Art,Male,No,American,White,1870.0
1822,Clarence John Laughlin,Photograph,1905.0,1985.0,Unknown,High Museum of Art,Male,No,American,White,1900.0
1823,Clarence Kennedy,Photograph,1892.0,1972.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1890.0
1824,Clarence Lincoln Block,Photograph,1913.0,1942.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1910.0
1825,Clarence Sinclair Bull,Photograph,1896.0,1979.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1890.0
1826,Clarence William Anderson,Print,1891.0,1971.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1890.0
1827,Clarissa Sligh,Print,1939.0,0.0,Unknown,Museum of Fine Arts Houston,Female,No,American,Black,1930.0
1828,Claud Lovat Fraser,Drawing,1890.0,1921.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1890.0
1829,Claude Breeze,Print,1938.0,1938.0,Unknown,Museum of Modern Art,Unknown,No,Canadian,Unknown,1930.0
1830,Claude Cahun (Lucy Schwob),Photograph,1894.0,1954.0,Unknown,San Francisco Museum of Modern Art,Female,No,French,White,1890.0
1831,Claude Closky,Audio,1963.0,0.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1960.0
1832,Claude Flight,Print,1881.0,1955.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1880.0
1833,Claude Garache,Print,1929.0,0.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1920.0
1834,Claude Monet,Painting,1840.0,1926.0,Unknown,Rhode Island School of Design Museum,Male,No,French,White,1840.0
1835,Claude Parent,Architecture,1923.0,2016.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1920.0
1836,Claude Viallat,Painting,1936.0,0.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1930.0
1837,Claude Viseux,Drawing,1927.0,2008.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1920.0
1838,Claude-Joseph-Désiré Charnay,Photograph,1828.0,1915.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1820.0
1840,Claudia Andujar,Photograph,1931.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1930.0
1841,Claudia Comte,Print,1983.0,0.0,Unknown,Museum of Modern Art,Female,No,Swiss,Unknown,1980.0
1842,Claudia Hart,Print,1955.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1950.0
1843,Claudia Von Alemann,Video,1943.0,0.0,Unknown,Museum of Modern Art,Female,No,German,Unknown,1940.0
1844,Claudio Bravo,Print,1936.0,2011.0,Unknown,Museum of Modern Art,Male,No,Chilean,Unknown,1930.0
1845,Claudio Cesar,Design,1955.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1950.0
1846,Claudio Perna,Video,1938.0,1997.0,Unknown,Museum of Modern Art,Male,No,Venezuelan,Unknown,1930.0
1847,Claudio Salocchi,Design,1934.0,0.0,Unknown,Museum of Modern Art,Unknown,No,Italian,Unknown,1930.0
1848,Claudy Jongstra,Design,1963.0,0.0,Unknown,Museum of Modern Art,Female,No,Dutch,Unknown,1960.0
1849,Claus Joseph Riedel,Design,1925.0,0.0,Unknown,Museum of Modern Art,Male,No,Austrian,Unknown,1920.0
1850,Clayton Pond,Print,1941.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1940.0
1851,Clegg and Guttmann,Print,1957.0,0.0,Unknown,Museum of Modern Art,Male,No,Irish,Unknown,1950.0
1852,Clemens von Wedemeyer,Installation,1974.0,0.0,Unknown,Dallas Museum of Art,Male,No,German,White,1970.0
1854,Clement Meadmore,Drawing,1929.0,2005.0,Unknown,Museum of Modern Art,Male,No,Australian,Unknown,1920.0
1855,Clementine Helene Dufau,Design,1869.0,1937.0,Unknown,Museum of Modern Art,Female,No,French,Unknown,1860.0
1857,Cleve Gray,Painting,1918.0,2004.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1910.0
1859,Cliff Chi,Design,1964.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1960.0
1860,Cliff Schiappa/Associated Press,Photograph,1957.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1950.0
1861,Clifford Owens,Installation,1971.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1970.0
1862,Clifford Ross,Photograph,1952.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1950.0
1864,Clifton Johnson,Photograph,1865.0,1940.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1860.0
1866,Clinton Adams,Print,1918.0,2002.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1910.0
1867,Clinton Hill,Print,1922.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1920.0
1868,Clive Gardiner,Design,1891.0,1960.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1890.0
1869,Clorindo Testa,Architecture,1923.0,2013.0,Unknown,Museum of Modern Art,Male,No,Argentine,Unknown,1920.0
1871,Clovis Trouille,Illustrated Book,1899.0,1975.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1890.0
1872,Clyde Forsythe,Design,1885.0,1962.0,Unknown,Museum of Fine Art Boston,Male,No,American,Unknown,1880.0
1873,Clyfford Still,Painting,1904.0,1980.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1900.0
1874,Cléanthe (Cléante Carr),Print,1911.0,2001.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1910.0
1875,Co Derr,Design,1921.0,2011.0,Unknown,Museum of Modern Art,Male,No,Swedish,Unknown,1920.0
1876,Coco Fusco,Print,1960.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1960.0
1878,Coil,Video,1982.0,0.0,Unknown,Museum of Modern Art,Unknown,No,British,Unknown,1980.0
1880,Coles Phillips,Photograph,1880.0,1927.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1880.0
1881,Colette Alvarez Urbajtel,Photograph,1934.0,0.0,Unknown,Museum of Modern Art,Female,No,French,Unknown,1930.0
1882,Colette Bangert,Drawing,1934.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1930.0
1883,Colin Campbell,Video,1942.0,2001.0,Unknown,Museum of Modern Art,Male,No,Canadian,Unknown,1940.0
1884,Colin Lanceley,Print,1938.0,0.0,Unknown,Museum of Modern Art,Male,No,Australian,Unknown,1930.0
1885,Colin Lee,Print,1953.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1950.0
1887,Colin Self,Print,1941.0,0.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1940.0
1888,Colin Smith,Print,1982.0,0.0,Unknown,Museum of Modern Art,Unknown,No,Unknown,Unknown,1980.0
1889,Colleen Browning,Print,1923.0,0.0,Unknown,Nelson-Atkins Museum of Art,Female,No,American,White,1920.0
1890,Colleen Frances Kenyon,Photograph,1951.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1950.0
1891,Collier Schorr,Photograph,1963.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1960.0
1893,Coloplast A/S,Design,1957.0,0.0,Unknown,Museum of Modern Art,Unknown,No,Danish,Unknown,1950.0
1895,Concetta Scaravaglione,Sculpture,1900.0,1975.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1900.0
1896,Connie Imboden,Photograph,1953.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1950.0
1897,Connor Everts,Print,1928.0,2016.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1920.0
1899,Conrad Atkinson,Print,1940.0,0.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1940.0
1901,Conrad Felixmüller,Periodical,1897.0,1977.0,Unknown,Museum of Modern Art,Male,No,German,Unknown,1890.0
1902,Conrad Marca-Relli,Painting,1913.0,2000.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1910.0
1903,Conrad Rooks,Photograph,1934.0,2011.0,Unknown,Museum of Modern Art,Unknown,No,American,Unknown,1930.0
1904,Constance Brenner Vieira Da Cunha,Photograph,1943.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1940.0
1905,Constance DeJong,Sculpture,1950.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1950.0
1906,Constant (Constant Anton Nieuwenhuys),Print,1920.0,2005.0,Unknown,Museum of Modern Art,Male,No,Dutch,Unknown,1920.0
1907,Constantin Brâncuși,Drawing,1876.0,1957.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1870.0
1908,Constantine Manos,Photograph,1934.0,0.0,Unknown,Museum of Modern Art,Male,No,Greek,Unknown,1930.0
1909,Consuelo Kanaga,Photograph,1894.0,1978.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1890.0
1910,Converse,Design,1908.0,0.0,Unknown,Museum of Modern Art,Unknown,No,American,Unknown,1900.0
1911,Corita Kent (Sister Mary Corita),Print,1918.0,1986.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1910.0
1912,Corneille (Guillaume van Beverloo),Print,1922.0,2010.0,Unknown,Museum of Modern Art,Male,No,Dutch,Unknown,1920.0
1913,Cornel Windlin,Print,1964.0,0.0,Unknown,Museum of Modern Art,Male,No,Swiss,Unknown,1960.0
1915,Cornelia Parker,Drawing,1956.0,0.0,Unknown,Museum of Modern Art,Female,No,British,Unknown,1950.0
1916,Cornelis Zitman,Design,1926.0,2016.0,Unknown,Museum of Modern Art,Male,No,Venezuelan,Unknown,1920.0
1917,Cornell Capa,Photograph,1918.0,2008.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1910.0
1918,Corradino D'Ascanio,Design,1891.0,1981.0,Unknown,Museum of Modern Art,Male,No,Italian,Unknown,1890.0
1919,Corrado Cagli,Drawing,1910.0,1976.0,Unknown,Museum of Modern Art,Male,No,Italian,Unknown,1910.0
1920,Cory Arcangel,Print,1978.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1970.0
1921,Cosima von Bonin,Multiple,1962.0,0.0,Unknown,Museum of Contemporary Art,Female,No,German,White,1960.0
1922,Costantino Nivola,Print,1911.0,1988.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1910.0
1923,Cotter Luppi,Drawing,1966.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1960.0
1924,Coulon,Design,1907.0,0.0,Unknown,Museum of Modern Art,Unknown,No,French,Unknown,1900.0
1925,Courttney Cooper,Drawing,1977.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1970.0
1926,Coy Howard,Design,1943.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1940.0
1927,Craig Kalpakjian,Photograph,1961.0,0.0,Unknown,Whitney Museum of American Art,Male,No,American,White,1960.0
1928,Craig Kauffman,Sculpture,1932.0,2010.0,Unknown,Whitney Museum of American Art,Male,No,American,Unknown,1930.0
1929,Craigie Horsfield,Photograph,1949.0,0.0,Unknown,San Francisco Museum of Modern Art,Male,No,British,White,1940.0
1930,Crash (John Matos),Print,1961.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1960.0
1932,Crispin Jones,Design,1974.0,0.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1970.0
1933,Cristina Iglesias,Print,1956.0,0.0,Unknown,Museum of Modern Art,Female,No,Spanish,Unknown,1950.0
1934,Cristobal Arteche,Design,1900.0,1964.0,Unknown,Museum of Modern Art,Male,No,Spanish,Unknown,1900.0
1935,Cristos Gianakos,Drawing,1934.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1930.0
1936,Cristóbal Lehyt,Drawing,1973.0,0.0,Unknown,Museum of Modern Art,Male,No,Chilean,Unknown,1970.0
1937,Critical Art Ensemble,Print,1987.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1980.0
1938,Cui Jie,Painting,1983.0,0.0,Unknown,Museum of Modern Art,Female,No,Chinese,Unknown,1980.0
1940,Cuno Amiet,Print,1868.0,1961.0,Unknown,Museum of Modern Art,Male,No,Swiss,Unknown,1860.0
1941,Curt Richter,Photograph,1956.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1950.0
1942,Curtis Moffat,Design,1887.0,1949.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1880.0
1943,Curtis Van Buren,Multiple,1950.0,0.0,Unknown,Yale University Art Gallery,Male,No,American,White,1950.0
1945,Cy Twombly,Drawing,1928.0,2011.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1920.0
1946,Cyan,Design,1992.0,0.0,Unknown,Museum of Modern Art,Unknown,No,German,Unknown,1990.0
1947,Cynthia Carlson,Drawing,1942.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1940.0
1948,Cyprien Gaillard,Multiple,1980.0,0.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1980.0
1949,Cyril Edward Power,Print,1872.0,1951.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1870.0
1951,Cécile B. Evans,Video,1983.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1980.0
1952,César (César Baldaccini),Drawing,1921.0,1998.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1920.0
1953,César A. Martínez,Drawing,1944.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1940.0
1954,César Domela-Nieuwenhuis,Design,1900.0,1992.0,Unknown,Museum of Modern Art,Male,No,Dutch,Unknown,1900.0
1955,César Jannello,Design,1918.0,1985.0,Unknown,Museum of Modern Art,Unknown,No,Argentine,Unknown,1910.0
1956,César Moro (Alfredo Quíspez Asín),Drawing,1903.0,1956.0,Unknown,Museum of Modern Art,Male,No,Peruvian,Unknown,1900.0
1957,César Paternosto,Painting,1931.0,0.0,Unknown,Museum of Modern Art,Male,No,Argentine,Unknown,1930.0
1958,D-L Alvarez,Drawing,1965.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1960.0
1959,D. B. Woodbury,Photograph,1839.0,1866.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1830.0
1962,D. S. Martin,Design,1916.0,0.0,Unknown,Museum of Modern Art,Unknown,No,American,Unknown,1910.0
1963,D. W. Griffith,Work on Paper,1875.0,1948.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1870.0
1964,DIS,Video,2010.0,0.0,Unknown,Museum of Modern Art,Unknown,No,American,Unknown,2010.0
1965,Daan van Golden,Print,1936.0,2017.0,Unknown,Museum of Modern Art,Unknown,No,Dutch,Unknown,1930.0
1966,Dacres Adams,Design,1864.0,1951.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1860.0
1967,Dag Alveng,Photograph,1953.0,0.0,Unknown,Museum of Modern Art,Male,No,Norwegian,Unknown,1950.0
1968,Dagobert Peche,Design,1887.0,1923.0,Unknown,Museum of Fine Art Boston,Male,No,Austrian,White,1880.0
1971,Daido Moriyama,Photograph,1938.0,0.0,Unknown,Museum of Modern Art,Male,No,Japanese,Unknown,1930.0
1972,Daisy Youngblood,Sculpture,1945.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1940.0
1973,Dale Henry,Installation,1931.0,2011.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1930.0
1974,Dale Hoyt,Video,1961.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1960.0
1976,Dalla Husband,Illustrated Book,1899.0,1945.0,Unknown,Museum of Modern Art,Female,No,Canadian,Unknown,1890.0
1978,Damien Deroubaix,Drawing,1972.0,0.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1970.0
1979,Damien Hirst,Drawing,1965.0,0.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1960.0
1980,Damián Ortega,Multiple,1967.0,0.0,Unknown,Museum of Modern Art,Male,No,Mexican,Unknown,1960.0
1981,Dan Asher,Drawing,1947.0,2010.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1940.0
1982,Dan Budnik,Photograph,1933.0,2020.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1930.0
1983,Dan Christensen,Painting,1942.0,2007.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1940.0
1984,Dan Dailey,Print,1947.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1940.0
1985,Dan Fischer,Drawing,1977.0,0.0,Unknown,San Francisco Museum of Modern Art,Male,No,American,White,1970.0
1986,Dan Flavin,Drawing,1933.0,1996.0,Unknown,Denver Art Museum,Male,No,American,White,1930.0
1987,Dan Friedman,Design,1945.0,0.0,Unknown,Art Institute of Chicago,Male,No,American,Unknown,1940.0
1988,Dan Graham,Drawing,1942.0,2022.0,Unknown,Museum of Contemporary Art,Male,No,American,White,1940.0
1989,Dan McCarthy,Drawing,1962.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1960.0
1990,Dan Miller,Drawing,1961.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1960.0
1991,Dan Perjovschi,Drawing,1961.0,0.0,Unknown,Museum of Modern Art,Male,No,Romanian,Unknown,1960.0
1992,Dan Peterman,Multiple,1960.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1960.0
1994,Dan Rizzie,Print,1951.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1950.0
1995,Dan Sandin,Video,1942.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1940.0
1996,Dan Walsh,Illustrated Book,1960.0,0.0,Unknown,Whitney Museum of American Art,Male,No,American,Unknown,1960.0
1997,Dan Weiner,Design,1919.0,1959.0,Unknown,Nelson-Atkins Museum of Art,Male,No,American,Unknown,1910.0
1998,Dana Atchley,Illustrated Book,1941.0,2000.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1940.0
1999,Dana Duff,Drawing,1955.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1950.0
2000,Dana Kavelina,Video,1995.0,0.0,Unknown,Museum of Modern Art,Unknown,No,Ukrainian,Unknown,1990.0
2001,Dana Salvo,Photograph,1952.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1950.0
2002,Dana Schutz,Print,1976.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1970.0
2003,Danh Vo,Print,1975.0,0.0,Unknown,Museum of Modern Art,Male,No,Danish,Unknown,1970.0
2004,Dani (Leventhal) ReStack,Video,1972.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1970.0
2005,Daniel Argimón Granell,Print,1929.0,1996.0,Unknown,Museum of Modern Art,Male,No,Spanish,Unknown,1920.0
2007,Daniel Buren,Video,1938.0,0.0,Unknown,Museum of Contemporary Art,Male,No,French,White,1930.0
2008,Daniel Egg,Print,1973.0,0.0,Unknown,Museum of Modern Art,Male,No,Austrian,Unknown,1970.0
2009,Daniel F. Cudzik,Design,1934.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1930.0
2011,Daniel González,Photograph,1934.0,0.0,Unknown,Museum of Modern Art,Male,No,Venezuelan,Unknown,1930.0
2012,Daniel Gordon,Photograph,1980.0,0.0,Unknown,Museum of Modern Art,Male,No,American,White,1980.0
2013,Daniel Grataloup,Architecture,1937.0,0.0,Unknown,Museum of Modern Art,Male,No,Swiss,Unknown,1930.0
2015,Daniel Joseph Martinez,Print,1957.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1950.0
2016,Daniel Kelly,Print,1947.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1940.0
2017,Daniel LaRue Johnson,Painting,1938.0,2017.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1930.0
2018,Daniel Lang,Drawing,1935.0,2013.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1930.0
2019,Daniel Libeskind,Architecture,1946.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1940.0
2021,Daniel Ranalli,Photograph,1946.0,0.0,Unknown,Museum of Fine Art Boston,Male,No,American,Unknown,1940.0
2022,Daniel Reeves,Video,1948.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1940.0
2023,Daniel Richter,Drawing,1962.0,0.0,Unknown,Denver Art Museum,Male,No,German,White,1960.0
2025,Daniel S. Williams,Photograph,1942.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1940.0
2026,Daniel Schmid,Work on Paper,1941.0,2006.0,Unknown,Museum of Modern Art,Male,No,Swiss,Unknown,1940.0
2028,Daniel Sinsel,Drawing,1976.0,0.0,Unknown,Museum of Modern Art,Male,No,German,Unknown,1970.0
2029,Daniel Spoerri,Photograph,1930.0,0.0,Unknown,Museum of Modern Art,Male,No,Swiss,Unknown,1930.0
2031,Daniel Zeller,Drawing,1965.0,0.0,Unknown,Rhode Island School of Design Museum,Male,No,American,White,1960.0
2033,Daniela Rossell,Photograph,1973.0,0.0,Unknown,Museum of Modern Art,Female,No,Mexican,Unknown,1970.0
2035,Danielle Jaeggi,Video,1945.0,0.0,Unknown,Museum of Modern Art,Female,No,Swiss,Unknown,1940.0
2038,Dannielle Tegeder,Drawing,1971.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1970.0
2039,Danny (Danny Pierce),Print,1920.0,2014.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1920.0
2040,Danny Boyle,Poster,1956.0,0.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1950.0
2042,Danny Ho Fong,Design,1915.0,1992.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1910.0
2043,Danny Lyon,Photograph,1942.0,0.0,Unknown,Rhode Island School of Design Museum,Male,No,American,White,1940.0
2044,Dante Giacosa,Design,1905.0,1996.0,Unknown,Museum of Modern Art,Male,No,Italian,Unknown,1900.0
2045,Danuta Leszczynska-Kluza,Print,1926.0,0.0,Unknown,Museum of Modern Art,Female,No,Polish,Unknown,1920.0
2046,Dara Birnbaum,Photograph,1946.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1940.0
2047,Dara Friedman,Video,1968.0,0.0,Unknown,Museum of Modern Art,Female,No,German,Unknown,1960.0
2050,Darius Kinsey,Photograph,1869.0,1945.0,Unknown,San Francisco Museum of Modern Art,Male,No,American,White,1860.0
2051,Darrel Ellis,Photograph,1958.0,1992.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1950.0
2052,Darrell Landrum,Design,1924.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1920.0
2053,Darren Almond,Installation,1971.0,0.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1970.0
2054,Dasha Shishkin,Print,1977.0,0.0,Unknown,Art Institute of Chicago,Female,No,American,White,1970.0
2055,Dave Aylott,Work on Paper,1885.0,1969.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1880.0
2056,Dave Heath,Photograph,1931.0,2016.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1930.0
2057,Dave Muller,Print,1964.0,0.0,Unknown,San Francisco Museum of Modern Art,Male,No,American,White,1960.0
2058,Dave Stewart,Audio,1952.0,0.0,Unknown,Museum of Modern Art,Male,No,Unknown,Unknown,1950.0
2060,Davey Wreden,Design,1988.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1980.0
2061,David Alfaro Siqueiros,Print,1896.0,1974.0,Hispanic,Rhode Island School of Design Museum,Male,No,Mexican,Unknown,1890.0
2062,David Alvin Lowe,Photograph,1856.0,1938.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1850.0
2063,David Annesley,Sculpture,1936.0,0.0,Unknown,Museum of Modern Art,Male,No,British,Unknown,1930.0
2064,David Aronson,Design,1923.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1920.0
